NAME,TIME,POPULATION
ABW,2014,103594
AFG,2014,32716210
AGO,2014,27128337
ALB,2014,2889104
AND,2014,71621
ARE,2014,8835951
ARG,2014,42669500
ARM,2014,2889930
ASM,2014,52217
ATG,2014,89236
AUS,2014,23475686
AUT,2014,8546356
AZE,2014,9535079
BDI,2014,10494913
BEL,2014,11209057
BEN,2014,10614844
BFA,2014,18169842
BGD,2014,155961299
BGR,2014,7223938
BHR,2014,1311134
BHS,2014,389131
BIH,2014,3571068
BLR,2014,9448515
BLZ,2014,352335
BMU,2014,65138
BOL,2014,10916987
BRA,2014,203459650
BRB,2014,277493
BRN,2014,416656
BTN,2014,736357
BWA,2014,2260376
CAF,2014,4798734
CAN,2014,35437435
CHE,2014,8188649
CHI,2014,160912
CHL,2014,17687108
CHN,2014,1371860000
CIV,2014,22995555
CMR,2014,22299585
COD,2014,76035588
COG,2014,4944861
COL,2014,46677947
COM,2014,714612
CPV,2014,546076
CRI,2014,4844288
CUB,2014,11332026
CUW,2014,155909
CYM,2014,59559
CYP,2014,1176995
CZE,2014,10525347
DEU,2014,80982500
DJI,2014,989087
DMA,2014,69371
DNK,2014,5643475
DOM,2014,10282115
DZA,2014,38760168
ECU,2014,15957994
EGY,2014,95592324
EMU,2014,338486932
ERI,2014,3323425
ESP,2014,46480882
EST,2014,1314545
ETH,2014,99746766
FIN,2014,5461512
FJI,2014,915560
FRA,2014,66312067
FRO,2014,48465
FSM,2014,109024
GAB,2014,1966855
GBR,2014,64602298
GEO,2014,3719414
GHA,2014,28196358
GIB,2014,32452
GIN,2014,11333365
GMB,2014,2189019
GNB,2014,1743309
GNQ,2014,1295183
GRC,2014,10892413
GRD,2014,117972
GRL,2014,56295
GTM,2014,15306316
GUM,2014,167543
GUY,2014,751115
HIC,2014,1205686277
HKG,2014,7229500
HND,2014,9127846
HRV,2014,4238389
HTI,2014,10412740
HUN,2014,9866468
IDN,2014,256229761
IMN,2014,83896
IND,2014,1307246509
IRL,2014,4657740
IRN,2014,79961672
IRQ,2014,36746488
ISL,2014,327386
ISR,2014,8215700
ITA,2014,60789140
JAM,2014,2784543
JOR,2014,8658026
JPN,2014,127276000
KAZ,2014,17288285
KEN,2014,45831863
KGZ,2014,5835500
KHM,2014,15210817
KIR,2014,114985
KNA,2014,47789
KOR,2014,50746659
KWT,2014,3761584
LAO,2014,6691454
LBN,2014,6274342
LBR,2014,4519398
LBY,2014,6097764
LCA,2014,174804
LIE,2014,37096
LKA,2014,21239457
